STRING ID,DESCRIPTION,ENGLISH,FRENCH / FRANÇAIS,SPANISH / ESPAÑOL,GERMAN / DEUTSCH,ITALIAN / ITALIANO,PORTUGUESE / PORTUGUÊS (BR),PORTUGUESE / PORTUGUÊS (PT),RUSSIAN / РУССКИЙ,GREEK / ΕΛΛΗΝΙΚΑ,TURKISH / TÜRKÇE,DANISH / DANSK,NORWEGIAN (NB) / NORSK BOKMÅL,SWEDISH / SVENSKA,DUTCH / NEDERLANDS,POLISH / POLSKI,FINNISH / SUOMI,JAPANESE / 日本語,SIMPLIFIED CHINESE / 简体中文,TRADITIONAL CHINESE / 繁体中文,KOREAN / 한국어,CZECH / ČEŠTINA,HUNGARIAN / MAGYAR,ROMANIAN / ROMÂNĂ,THAI / ภาษาไทย,BULGARIAN / БЪЛГАРСКИ,עברית / HEBREW,العربية / ARABIC,BOSNIAN
LANGUAGE_CODE,IETF language tag(s) without dash,enUS enGB,frFR,esES esAR esMX,deDE deCH deAT,itIT itCH,ptBR,ptPT,ruRU,elGR,trTR,daDK,noNB,svSE,nlNL,plPL,fiFI,jaJP,zhCN zhSG,zhTW zhHK zhMO,koKR,csCZ,huHU,roRO,thTH,bgBG,heIL,ar001,bsBS
LANGUAGE_DIRECTION,ltr or rtl (text direction used by game code),ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,rtl,rtl,ltr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyglot,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANGUAGE_THIS_EN,[LanguageName] in english,English,French,Spanish,German,Italian,Portuguese (Brazil),Portuguese,Russian,Greek,Turkish,Danish,Norwegian,Swedish,Dutch,Polish,Finnish,Japanese,Simplified Chinese,Traditional Chinese,Korean,Czech,Hungarian,Romanian,Thai,Bulgarian,Hebrew,Arabic,Bosnian
LANGUAGE_THIS,,English,Français,Español,Deutsch,Italiano,Português (BR),Português (PT),РУССКИЙ,ΕΛΛΗΝΙΚΑ,Türkçe,Dansk,Norsk bokmål,Svenska,Nederlands,Polski,Suomi,日本語,简体中文,繁体中文,한국어,Čeština,Magyar,Română,ภาษาไทย,БЪЛГАРСКИ,עברית,العربية,Bosnian
HEALTH_AND_SAFETY_WARNING_TITLE,,Health And Safety Warning,Notice sur la santé et la sécurité,Advertencia de Salud y Seguridad,Gesundheits- und Sicherheitshinweise,,,,,,,,,,,,,健康と安全上の注意,健康与安全警示,,건강 및 안전 경고,,,,,,,,
HEALTH_AND_SAFETY_WARNING_SHORT_VERSION,,"<align=center><size=120%>WARNING

THIS EXPERIENCE MAY CONTAIN FLASHING IMAGES THAT MAY TRIGGER SEIZURES IN PHOTOSENSITIVE INDIVIDUALS. SEE OCULUS.COM/WARNINGS.</size></align>","<align=center><size=120%>ATTENTION

CETTE EXPÉRIENCE PEUT CONTENIR DES IMAGES CLIGNOTANTES QUI PEUVENT PROVOQUER DES CRISES D’ÉPILEPSIE CHEZ LES INDIVIDUS SENSIBLES À LA LUMIÈRE. CONSULTEZ OCULUS.COM/WARNINGS.</size></align>
","<align=center><size=120%>ADVERTENCIA

ESTA EXPERIENCIA PUEDE INCLUIR IMÁGENES INTERMITENTES QUE PUEDEN PROVOCAR CONVULSIONES EN PERSONAS FOTOSENSIBLES. CONSULTA OCULUS.COM/WARNINGS</size></align>
","<align=center><size=120%>WARNUNG

DIESES ERLEBNIS KANN BLINKENDE BILDER ENTHALTEN, DIE BEI LICHTEMPFINDLICHEN PERSONEN KRAMPFANFÄLLE AUSLÖSEN KÖNNEN. SIEHE OCULUS.COM/WARNINGS.</size></align>
",,,,,,,,,,,,,"<align=center><size=120%>警告

このエクスペリエンスには、点滅画像が含まれている場合があります。光に敏感な人は、光過敏性発作を起こす可能性があります。詳しくはoculus.com/warningsをご覧ください。</size></align>",,,"<align=center><size=120%>경고:

이 경험은 감광성을 가진 사람에게 발작을 일으킬 수 있는 플래시 이미지를 포함할 수 있습니다. OCULUS.COM/WARNINGS를 확인해보세요.</size></align>",,,,,,,,
HEALTH_AND_SAFETY_WARNING,,"<align=center><size=5>WARNING - THIS EXPERIENCE MAY CONTAIN FLASHING IMAGES</size></align>

A small number of people may have seizures triggered by certain lights, patterns, or images, even with no history of seizures. Talk to a doctor first if you have an epileptic condition. Stop use if you experience any unusual symptoms and don’t resume until you have talked with a doctor. See oculus.com/warnings.

<align=center><size=5>WARNING - THIS EXPERIENCE REQUIRES HIGH PHYSICAL ACTIVITY</size></align>

All users should read the health and safety warnings provided with your headset (and oculus.com/warnings) before playing.
Always create and maintain a safe play space. Take regular breaks. Stop if you experience discomfort.
","<align=center><size=5>ATTENTION - CETTE EXPÉRIENCE PEUT CONTENIR DES IMAGES CLIGNOTANTES</size></align>

Un faible pourcentage de personnes peut souffrir de crises d’épilepsie en raison de certaines lumières, séquences ou images, même si elles ne présentent pas d’antécédents. Consultez un médecin avant utilisation si vous souffrez d’épilepsie. Cessez l’utilisation en cas de symptômes inhabituels et ne reprenez pas avant d’avoir consulté un médecin. Consultez oculus.com/warnings.

<align=center><size=5>ATTENTION - CETTE EXPÉRIENCE IMPLIQUE UNE ACTIVITÉ PHYSIQUE INTENSE</size></align>

Tous les utilisateurs doivent lire les avertissements en matière de santé et de sécurité fournies avec le casque (et sur la page oculus.com/warnings) avant de jouer.
Veillez à toujours créer et maintenir un espace de jeu sûr. Faites des pauses régulièrement. Cessez l’utilisation si vous ressentez de l’inconfort.
","<align=center><size=5>ADVERTENCIA - ESTA EXPERIENCIA PUEDE INCLUIR IMÁGENES INTERMITENTES</size></align>

Un reducido número de personas pueden sufrir convulsiones provocadas por determinados estímulos luminosos, patrones o imágenes, incluso aunque no tengan antecedentes de ataques convulsivos. Si sufres epilepsia, habla primero con tu médico. Deja de usar la experiencia si notas síntomas inusuales y no la retomes hasta que hayas hablado con un médico. Consulta oculus.com/warnings

<align=center><size=5>ADVERTENCIA - ESTA EXPERIENCIA IMPLICA UNA ACTIVIDAD FÍSICA INTENSA</size></align>

Todos los usuarios deben leer las advertencias sobre salud y seguridad que se proporcionan con las gafas (y en oculus.com/warnings) antes de jugar.
Crea un espacio de juego seguro y mantenlo libre de obstáculos. Haz pausas regularmente y deja de jugar si notas malestar.","<align=center><size=5>WARNUNG - DIESES ERLEBNIS KANN BLINKENDE BILDER ENTHALTEN</size></align>

Bei einigen wenigen Menschen können durch bestimmte Lichter, Muster oder Bilder Krampfanfälle ausgelöst werden, selbst wenn diese bei ihnen in der Vergangenheit noch nicht aufgetreten sind. Konsultiere bitte zunächst einen Arzt, wenn du an Epilepsie leidest. Beende die Nutzung, wenn irgendwelche ungewöhnlichen Symptome bei dir auftreten und setzte das Spiel nicht fort, bevor du mit einem Arzt gesprochen hast. Siehe oculus.com/warnings.

<align=center><size=5>WARNUNG - DIESES ERLEBNIS ERFORDERT EINE STARKE KÖRPERLICHE AKTIVITÄT</size></align>

Vor dem Spielen sollten sich alle Nutzer die Warnhinweise zu Gesundheits- und Sicherheitsgefahren durchlesen, die deinem Headset beiliegen (bzw. unter oculus.com/warnings).
Sorge immer für einen sicheren Spielbereich. Lege regelmäßig Pausen ein. Höre auf zu spielen, wenn du dich unwohl fühlst.
",,,,,,,,,,,,,"<align=center>警告-このエクスペリエンスには点滅画像が含まれている可能性があります</align>

過去に発作を起こしたことがなくても、特定の光やパターン、画像によって光過敏性発作を起こす場合があります。てんかんの症状がある場合は、まず医師にご相談ください。異常な症状が出た場合は使用を中止し、医師に相談するまで使用を再開しないでください。詳しくはoculus.com/warningsをご覧ください。

<align=center>警告-このエクスペリエンスは激しい身体活動を必要とします</align>

プレイ前に、ヘッドセットに付属の健康と安全に関する警告(および oculus.com/warnings)を必ずお読みください。
常に、安全なプレイ空間を作り、維持するようにしてください。定期的に休憩をお取りください。不快感がある場合は中止してください。",,,"<align=center>경고 - 이 경험은 플래시 이미지를 포함할 수 있습니다</align>

일부 사용자는 발작 병력이 없더라도 특정 조명, 패턴 또는 이미지로 인해 발작을 일으킬 수 있습니다. 간질 증상이 있는 경우 먼저 의사와 상담하세요. 이상 증상이 있는 경우 사용을 중지하고 의사와 상담하기 전까지는 경험을 사용하지 마세요. oculus.com/warnings를 확인해보세요.

<align=center>경고 - 이 경험에는 높은 수준의 신체적 활동이 요구됩니다.</align>

모든 사용자는 플레이하기 전에 헤드셋에 동봉되어 있고 oculus.com/warnings에서도 확인할 수 있는 건강 및 안전 경고를 주의 깊게 읽어야 합니다.
항상 플레이 공간의 안전을 유지하세요. 주기적으로 휴식 시간을 가지세요. 불편함이 느껴지는 경우 사용을 중지하세요.",,,,,,,,
HEALTH_AND_SAFETY_WARNING_CONTENT,,"A small percentage of people may experience seizures when exposed to certain lights, patterns or images even with no history of epilepsy or seizures.

Please read health and safety warnings in your VR headset instruction manual before playing Beat Saber. Because you may be encouraged to perform intense action with your controllers also make sure to review your surroundings and clear any obstacles in your play area before starting the game. Always remember to stay in the center of the cleared play area and do not walk around.

Playing Beat Saber requires high physical activity so follow the same habits as doing a regular workout. Don't forget to stretch before playing and rest regularly in between levels. Some people may experience muscle soreness. If you experience this then immediately stop playing the game and rest.","Certains signaux lumineux, motifs ou images peuvent entraîner des crises d'épilepsie chez certaines personnes, avec ou sans antécédents.

Veuillez lire la notice sur la santé et la sécurité dans le manuel de votre casque de RV avant de jouer à Beat Saber. Dans la mesure où le jeu vous invite à effectuer des mouvements intenses et amples avec vos manettes, nous vous recommandons de bien dégager votre environnement de jeu avant de commencer. Restez bien au centre de votre zone de jeu et ne vous déplacez pas.

Beat Saber est un jeu impliquant une activité physique intense. Veuillez appliquer les précautions d'usage lors d'un exercice physique habituel. N'oubliez pas de vous étirer avant de jouer et de vous reposer régulièrement entre les niveaux. Certaines personnes pourront ressentir des douleurs musculaires. Dans ce cas, veuillez cesser votre partie immédiatement et vous reposer.","Un pequeño porcentaje de personas pueden experimentar convulsiones al estar expuestas a ciertas luces, patrones o imágenes, incluso sin tener un historial de epilepsia o convulsiones.

Lee las advertencias de salud y seguridad en el manual de instrucciones de tu equipo de RV antes de jugar Beat Saber. Ya que posiblemente se te pida que realices movimientos intensos con tus controles, asegúrate también de revisar tu entorno y despejar cualquier obstáculo en tu zona de juego antes de comenzar a jugar. Siempre recuerda mantenerte en el centro del área de juego despejada y procura no caminar.

Jugar Beat Saber requiere de una actividad física intensa, así que sigue los mismos hábitos que realizas cuando haces ejercicio regularmente. No olvides hacer estiramientos antes de jugar y descansar de manera regular entre un nivel y otro. Algunas personas pueden presentar dolores musculares. Si experientas esto, entonces deja de jugar de inmediato y descansa.","Bei einem sehr kleinen Prozentsatz von Personen kann es zu epileptischen Anfällen kommen, wenn sie bestimmten Lichteffekten, -mustern oder -bildern ausgesetzt sind, auch wenn in der Vergangenheit keine epileptischen Anfälle aufgetreten sind.

Bitte lies dir die Gesundheits- und Sicherheitshinweise in der Anleitung deines VR-Headsets durch, bevor du Beat Saber spielst. Da du möglicherweise zu intensiven Aktionen mit deinen Controllern aufgefordert wirst, solltest du auch darauf achten, deine Umgebung zu überprüfen und etwaige Hindernisse aus deinem Spielbereich zu beseitigen, bevor du mit dem Spiel beginnst. Denke immer daran, in der Mitte des freigeräumten Spielbereichs zu bleiben und nicht herumzulaufen.

Das Spielen von Beat Saber erfordert hohe physische Aktivität, daher solltest du den gleichen Gewohnheiten wie bei einem normalen Training folgen. Vergiss nicht, dich vor dem Spielen zu dehnen und dich zwischen den Leveln regelmäßig auszuruhen. Bei manchen Menschen kann Muskelkater auftreten. Sollte dies bei dir auftreten, dann höre sofort zu spielen auf und ruhe dich aus.",,,,,,,,,,,,,"少ない割合ですが、特定の光、模様、画像にさらされると、てんかんや発作の前歴のない人でも発作を起こす人がいます。

Beat Saberをプレイする前に、VRヘッドセットの説明書の健康と安全上の注意をよくお読みください。このゲームは、コントローラーで激しいアクションを行うので、周囲を十分に確認して、プレイエリアの障害を取り除いてから、ゲームをプレイしてください。常に安全なプレイエリアの中心でプレイするように心がけ、歩き回らないでください。

Beat Saberのプレイには、高いレベルの身体活動が必要になるので、通常の運動と同様の習慣に従うようにしてください。プレイの前にはストレッチを忘れずに行い、ステージの合間に定期的に休むようにしてください。人によっては、筋肉痛になることがあります。筋肉痛を感じたら、すぐにプレイを止めて休んでください。","极小部分人可能会在看到特定灯光、图案或图像时出现癫痫症状。甚至没有癫痫或抽搐史的人也会出现此症状。

在开始玩《节奏空间》之前，请仔细阅读在 VR 头盔使用指南中的健康与安全警示。您可能需要使用控制器做出激烈的动作，所以请务必在开始游戏前检查周围环境，并且清除游戏区域内所有障碍。切记，要站在周围无障碍的游戏区域中心，不要四处走动。

《节奏空间》需要您作高强度的身体动作，因此请遵循您常规锻炼时的习惯。在游戏开始之前别忘了做一下拉伸，并且在游戏中途适时作休息。部分人可能会有肌肉酸痛感。如果您遇到此情况，请立即停止游戏并休息。",,"소수의 인구는 이전에 간질이나 발작 이력이 없는 경우에도 특정 조명, 패턴 또는 이미지에 노출되었을 때 발작을 경험할 수 있습니다.

Beat Saber를 플레이하기 전에 VR 헤드셋 사용 설명서의 건강 및 안전 경고를 읽어 주십시오. 컨트롤러와 함께 격렬한 행동을 수행해야 할 수도 있기 때문에, 게임을 시작하기 전에 먼저 주변 환경을 잘 살피고 플레이하는 공간 주변에서 장애물을 제거해주십시오. 항상 장애물이 없는 플레이 공간의 중앙에서 포지션을 유지하고, 돌아다니지 말 것을 잊지 마십시오.

Beat Saber 플레이에는 활발한 신체 활동이 요구되므로 일반적으로 운동할 때와 같이 행동해주십시오. 플레이 전에 스트레칭하고 레벨 중간에 규칙적으로 휴식을 취하는 것을 잊지 마십시오. 근육통을 경험하는 경우도 있으니, 이 경우에는 바로 중단하고 휴식을 취하십시오.",,,,,,,,
